,make,model,year,owner,transmission,fuel,engine,max_power,seats,km_driven,seller_type,price_category
1891,Maruti,Alto,2006,Second Owner,Manual,Petrol,796 CC,46.3 bhp,5.0,100000,Individual,Low
1892,Maruti,Alto,2009,Fourth & Above Owner,Manual,Petrol,796 CC,46.3 bhp,5.0,70000,Individual,Low
1893,Hyundai,Accent,2004,Third Owner,Manual,Diesel,1493 CC,82 bhp,5.0,160000,Individual,Low
1894,Mahindra,Scorpio,2006,Third Owner,Manual,Diesel,2179 CC,120 bhp,8.0,120000,Individual,Low
1895,Hyundai,Accent,2005,Third Owner,Manual,Diesel,1493 CC,82 bhp,5.0,100000,Individual,Low
1896,Maruti,Ertiga,2013,Second Owner,Manual,Diesel,1248 CC,88.76 bhp,7.0,60000,Individual,Medium
1897,Chevrolet,Cruze,2010,Third Owner,Manual,Diesel,1991 CC,147.9 bhp,5.0,135000,Individual,Low
1898,Maruti,Swift,2016,First Owner,Manual,Petrol,1197 CC,81.80 bhp,5.0,90000,Individual,Medium
1899,Volkswagen,Polo,2013,Second Owner,Manual,Diesel,1199 CC,73.9 bhp,5.0,75000,Individual,Medium
1900,Toyota,Innova,2005,Second Owner,Manual,Diesel,2494 CC,100.6 bhp,7.0,185000,Individual,Medium
1901,Nissan,Micra,2015,Second Owner,Automatic,Petrol,1198 CC,76 bhp,5.0,71717,Individual,Medium
1902,Mahindra,Scorpio,2011,Second Owner,Automatic,Diesel,2179 CC,120 bhp,8.0,150000,Individual,Medium
1903,Maruti,Swift,2016,First Owner,Manual,Diesel,1248 CC,74 bhp,5.0,55000,Individual,Medium
1904,Ford,Fiesta,2012,Second Owner,Manual,Petrol,1596 CC,99.6 bhp,5.0,90000,Individual,Low
1905,Renault,KWID,2018,First Owner,Manual,Petrol,999 CC,67 bhp,5.0,35000,Individual,Medium
1906,Toyota,Fortuner,2015,Second Owner,Manual,Diesel,2982 CC,168.5 bhp,7.0,120000,Individual,High
1907,Hyundai,Santro,2011,Second Owner,Manual,LPG,1086 CC,62.1 bhp,5.0,100000,Individual,Low
1908,Honda,Civic,2009,Third Owner,Automatic,Petrol,1799 CC,130 bhp,5.0,40000,Individual,Medium
1909,Mahindra,Xylo,2010,First Owner,Manual,Diesel,2489 CC,95 bhp,8.0,100000,Individual,Medium
1910,Tata,Safari,2016,First Owner,Manual,Diesel,2179 CC,147.94 bhp,5.0,120000,Individual,Medium
1911,Maruti,Zen,2014,First Owner,Manual,Petrol,998 CC,67.1 bhp,5.0,60000,Individual,Low
1912,Mahindra,Bolero,2019,First Owner,Manual,Diesel,2523 CC,63 bhp,9.0,2000,Individual,Medium
1913,Mahindra,Scorpio,2012,First Owner,Manual,Diesel,2523 CC,75 bhp,8.0,100000,Individual,Medium
1914,Mahindra,Xylo,2015,First Owner,Manual,Diesel,2489 CC,93.7 bhp,7.0,110000,Individual,Medium
1915,Tata,New,2009,Second Owner,Manual,Diesel,2179 CC,138.1 bhp,7.0,90000,Individual,Low
1916,Tata,Indigo,2011,First Owner,Manual,Diesel,1396 CC,70 bhp,5.0,84321,Individual,Low
1917,Mahindra,XUV500,2013,First Owner,Manual,Diesel,2179 CC,140 bhp,7.0,177000,Individual,Medium
1918,Tata,Indica,2010,First Owner,Manual,Diesel,1248 CC,75 bhp,5.0,60000,Individual,Low
1919,Tata,Indigo,2008,Second Owner,Manual,Diesel,1396 CC,69 bhp,5.0,205000,Individual,Low
1920,Hyundai,i10,2008,Second Owner,Manual,Petrol,1197 CC,78.9 bhp,5.0,70000,Individual,Low
1921,Maruti,Omni,2011,Third Owner,Manual,Petrol,,,,70000,Individual,Low
1922,Renault,Duster,2013,Second Owner,Manual,Diesel,1461 CC,108.45 bhp,5.0,126000,Individual,Medium
1923,Ford,Endeavour,2016,Second Owner,Automatic,Diesel,3198 CC,197 bhp,7.0,120000,Individual,High
1924,Tata,Indica,2015,First Owner,Manual,Diesel,1405 CC,70 bhp,5.0,70000,Individual,Medium
1925,Mahindra,TUV,2017,First Owner,Manual,Diesel,1493 CC,100 bhp,7.0,82000,Individual,Medium
1926,Maruti,800,2004,Third Owner,Manual,Petrol,796 CC,37 bhp,4.0,110000,Individual,Low
1927,Maruti,Swift,2015,Second Owner,Manual,Petrol,1197 CC,83.14 bhp,5.0,45000,Individual,Medium
1928,Nissan,Sunny,2012,Second Owner,Manual,Diesel,1461 CC,84.8 bhp,5.0,70000,Individual,Medium
1929,Nissan,Terrano,2015,Second Owner,Manual,Diesel,1461 CC,83.8 bhp,5.0,80000,Individual,Medium
1930,Mahindra,Scorpio,2017,First Owner,Manual,Diesel,2179 CC,120 bhp,7.0,45000,Individual,High
1931,Hyundai,EON,2017,First Owner,Manual,Petrol,998 CC,68.05 bhp,5.0,60000,Individual,Medium
1932,Maruti,Swift,2013,First Owner,Manual,Petrol,1197 CC,85.8 bhp,5.0,41800,Individual,Medium
1933,Maruti,Estilo,2010,Second Owner,Manual,Petrol,,,,132000,Individual,Low
1934,Maruti,Swift,2017,Second Owner,Manual,Diesel,1248 CC,74.02 bhp,5.0,50000,Individual,Medium
1935,Ford,Figo,2012,First Owner,Manual,Diesel,1399 CC,68 bhp,5.0,40000,Individual,Low
1936,Maruti,Wagon,2009,Second Owner,Manual,Petrol,1061 CC,67 bhp,5.0,96000,Individual,Low
1937,Mahindra,Xylo,2012,First Owner,Manual,Diesel,2498 CC,112 bhp,8.0,117000,Individual,Low
1938,Hyundai,i10,2011,Second Owner,Manual,Petrol,1086 CC,68.05 bhp,5.0,110000,Individual,Low
1939,Honda,Amaze,2014,Second Owner,Manual,Diesel,1498 CC,98.6 bhp,5.0,100000,Individual,Medium
1940,Maruti,Alto,2007,Third Owner,Manual,Petrol,796 CC,46.3 bhp,5.0,88700,Individual,Low
1941,Nissan,Sunny,2012,Second Owner,Manual,Petrol,1498 CC,97.7 bhp,5.0,70000,Individual,Medium
1942,Maruti,Wagon,2010,Second Owner,Manual,Petrol,1061 CC,64 bhp,5.0,110000,Individual,Low
1943,Maruti,Alto,2016,First Owner,Manual,Petrol,796 CC,47.3 bhp,5.0,15000,Individual,Medium
1944,Mahindra,Verito,2012,Second Owner,Manual,Diesel,1461 CC,65 bhp,5.0,80000,Individual,Low
1945,Maruti,Ritz,2014,First Owner,Manual,Petrol,1197 CC,85.80 bhp,5.0,50000,Individual,Medium
1946,Hyundai,EON,2018,First Owner,Manual,Petrol,814 CC,55.2 bhp,5.0,15000,Individual,Medium
1947,Datsun,RediGO,2017,First Owner,Manual,Petrol,799 CC,53.64 bhp,5.0,25000,Individual,Medium
1948,Mahindra,Verito,2011,Second Owner,Manual,Diesel,1461 CC,64.1 bhp,5.0,57000,Individual,Low
1949,Mahindra,Bolero,2012,First Owner,Manual,Diesel,2523 CC,62.1 bhp,7.0,75000,Individual,Medium
1950,Maruti,Eeco,2013,First Owner,Manual,Petrol,1196 CC,73 bhp,5.0,26000,Individual,Low
1951,Hyundai,Xcent,2015,First Owner,Manual,Diesel,1120 CC,71.01 bhp,5.0,160000,Individual,Medium
1952,Maruti,Eeco,2013,First Owner,Manual,Petrol,1196 CC,73 bhp,5.0,26000,Individual,Low
1953,Maruti,Alto,2010,Second Owner,Manual,Petrol,796 CC,46.3 bhp,5.0,120000,Individual,Low
1954,Maruti,Alto,2014,Second Owner,Manual,Petrol,796 CC,46.3 bhp,5.0,50000,Individual,Low
1955,Maruti,Alto,2012,First Owner,Manual,Petrol,796 CC,46.3 bhp,5.0,40000,Individual,Low
1956,Toyota,Etios,2011,Third Owner,Manual,Diesel,,,,90000,Individual,Medium
1957,Maruti,Esteem,2005,Third Owner,Manual,Petrol,,,,120000,Individual,Low
1958,Honda,City,2017,First Owner,Manual,Petrol,1497 CC,117.3 bhp,5.0,28000,Individual,Medium
1959,Maruti,Swift,2018,First Owner,Manual,Diesel,1248 CC,74.02 bhp,5.0,50000,Individual,Medium
1960,Maruti,Ertiga,2014,First Owner,Manual,Diesel,1248 CC,88.8 bhp,7.0,90000,Individual,Medium
1961,Hyundai,Verna,2016,First Owner,Manual,Diesel,1396 CC,88.7 bhp,5.0,40000,Individual,Medium
1962,Ford,Figo,2017,First Owner,Manual,Diesel,1498 CC,99 bhp,5.0,113000,Individual,Medium
1963,Maruti,Swift,2011,Second Owner,Manual,Diesel,1248 CC,75 bhp,5.0,188000,Individual,Medium
1964,Ford,Figo,2011,First Owner,Manual,Diesel,1399 CC,68 bhp,5.0,100000,Individual,Low
1965,Tata,Sumo,2010,Third Owner,Manual,Diesel,1948 CC,90 bhp,9.0,225000,Individual,Low
1966,Mahindra,TUV,2017,Second Owner,Manual,Diesel,1493 CC,100 bhp,7.0,67000,Individual,Medium
1967,Chevrolet,Beat,2011,Fourth & Above Owner,Manual,Diesel,936 CC,57.6 bhp,5.0,70000,Individual,Low
1968,Toyota,Corolla,2015,First Owner,Manual,Petrol,1798 CC,138.03 bhp,5.0,50000,Individual,High
1969,Jaguar,XF,2013,First Owner,Automatic,Diesel,2179 CC,187.7 bhp,5.0,60000,Individual,High
1970,Volkswagen,Ameo,2017,First Owner,Automatic,Diesel,1498 CC,108.495 bhp,5.0,34000,Individual,Medium
1971,Honda,City,2004,Third Owner,Manual,Petrol,1493 CC,100 bhp,5.0,110000,Individual,Low
1972,Hyundai,Santro,2001,Second Owner,Manual,Petrol,,,,71000,Individual,Low
1973,Maruti,Wagon,2005,Second Owner,Manual,Petrol,998 CC,67.1 bhp,5.0,140000,Individual,Low
1974,Honda,City,2012,Second Owner,Manual,Petrol,1497 CC,116.3 bhp,5.0,100000,Individual,Medium
1975,Hyundai,Grand,2017,First Owner,Automatic,Petrol,1197 CC,81.86 bhp,5.0,10000,Individual,Medium
1976,Maruti,Celerio,2018,First Owner,Manual,Petrol,998 CC,67.04 bhp,5.0,30000,Individual,Medium
1977,Audi,Q3,2017,First Owner,Automatic,Diesel,1968 CC,174.33 bhp,5.0,22000,Dealer,High
1978,Honda,Civic,2020,First Owner,Manual,Diesel,1597 CC,118 bhp,5.0,5500,Dealer,High
1979,BMW,X1,2018,First Owner,Automatic,Diesel,1998 CC,190 bhp,5.0,18000,Dealer,High
1980,Toyota,Innova,2018,First Owner,Automatic,Diesel,2755 CC,171.5 bhp,8.0,20000,Dealer,High
1981,Hyundai,Santro,2018,First Owner,Manual,Petrol,1086 CC,68 bhp,5.0,7000,Dealer,Medium
1982,Force,Gurkha,2018,First Owner,Manual,Diesel,2596 CC,80.8 bhp,5.0,20000,Dealer,Medium
1983,Maruti,Celerio,2019,First Owner,Manual,Petrol,998 CC,67.04 bhp,5.0,4875,Dealer,Medium
1984,Hyundai,Creta,2020,First Owner,Automatic,Diesel,1582 CC,126.2 bhp,5.0,2700,Dealer,High
1985,Maruti,Vitara,2018,First Owner,Manual,Diesel,1248 CC,88.5 bhp,5.0,58511,Dealer,Medium
1986,Ford,Figo,2015,First Owner,Manual,Diesel,1498 CC,99 bhp,5.0,105000,Dealer,Medium
1987,Mahindra,Thar,2018,First Owner,Manual,Diesel,2498 CC,105 bhp,6.0,26235,Dealer,Medium
1988,Tata,Nexon,2017,First Owner,Manual,Diesel,1497 CC,108.5 bhp,5.0,26766,Dealer,Medium
1989,MG,Hector,2020,First Owner,Automatic,Petrol,1451 CC,141 bhp,5.0,1600,Dealer,High
1990,Mercedes-Benz,New,2018,First Owner,Manual,Diesel,2148 CC,170 bhp,5.0,46000,Dealer,High
1991,Mahindra,Marazzo,2019,First Owner,Manual,Diesel,1497 CC,121 bhp,7.0,23000,Dealer,High
1992,Maruti,Swift,2017,First Owner,Manual,Petrol,1197 CC,81.80 bhp,5.0,24522,Dealer,Medium
1993,BMW,3,2017,First Owner,Automatic,Diesel,1995 CC,190 bhp,5.0,13663,Dealer,High
1994,Skoda,Octavia,2019,First Owner,Automatic,Diesel,1968 CC,141 bhp,5.0,11000,Dealer,High
1995,Maruti,Vitara,2016,First Owner,Manual,Diesel,1248 CC,88.5 bhp,5.0,63000,Dealer,Medium
1996,Volkswagen,Polo,2019,First Owner,Manual,Petrol,1199 CC,74 bhp,5.0,2000,Dealer,Medium
1997,Mahindra,Scorpio,2014,Third Owner,Manual,Diesel,2179 CC,120 bhp,8.0,300000,Individual,Medium
1998,Mahindra,Logan,2011,Third Owner,Manual,Diesel,1461 CC,65 bhp,5.0,190000,Individual,Low
1999,Honda,City,2015,First Owner,Manual,Diesel,1498 CC,98.6 bhp,5.0,80000,Individual,Medium
2000,Honda,Jazz,2011,Second Owner,Manual,Petrol,1198 CC,90 bhp,5.0,80000,Individual,Medium
2001,Maruti,Alto,2015,First Owner,Manual,Petrol,998 CC,67.05 bhp,5.0,54000,Individual,Low
2002,Renault,KWID,2018,First Owner,Manual,Petrol,999 CC,67 bhp,5.0,30000,Individual,Medium
2003,Maruti,Eeco,2019,First Owner,Manual,Petrol,1196 CC,73 bhp,7.0,5000,Individual,Medium
2004,Mahindra,TUV,2015,First Owner,Manual,Diesel,1493 CC,100 bhp,7.0,58945,Individual,Medium
2005,Ford,Figo,2012,First Owner,Manual,Diesel,1399 CC,68 bhp,5.0,90000,Individual,Medium
2006,Toyota,Innova,2011,First Owner,Manual,Diesel,2494 CC,102 bhp,8.0,375000,Individual,Medium
2007,Maruti,Ertiga,2013,Third Owner,Manual,Diesel,1248 CC,88.76 bhp,7.0,160000,Individual,Medium
2008,Volkswagen,Polo,2014,Second Owner,Manual,Diesel,1598 CC,103.6 bhp,5.0,80000,Individual,Medium
2009,Maruti,800,2004,Third Owner,Manual,Petrol,796 CC,37 bhp,4.0,50000,Individual,Low
2010,Tata,Indigo,2015,Second Owner,Manual,Diesel,1405 CC,69.01 bhp,5.0,80000,Individual,Low
2011,Mahindra,Bolero,2015,First Owner,Manual,Diesel,2523 CC,62.1 bhp,9.0,156975,Individual,Medium
2012,Toyota,Corolla,2017,First Owner,Manual,Diesel,1364 CC,86.79 bhp,5.0,5000,Individual,High
2013,Chevrolet,Sail,2014,First Owner,Manual,Petrol,1199 CC,82.4 bhp,5.0,50000,Individual,Medium
2014,Ford,EcoSport,2018,First Owner,Manual,Diesel,1498 CC,98.59 bhp,5.0,27620,Dealer,Medium
2015,Mahindra,Scorpio,2013,First Owner,Manual,Diesel,2179 CC,120 bhp,9.0,120000,Individual,Medium
2016,Mahindra,Xylo,2009,Third Owner,Manual,Diesel,2498 CC,112 bhp,8.0,120000,Individual,Low
2017,Hyundai,i20,2015,First Owner,Manual,Petrol,1197 CC,81.86 bhp,5.0,58000,Individual,Medium
2018,Nissan,Sunny,2012,First Owner,Manual,Petrol,1498 CC,97.7 bhp,5.0,50000,Individual,Medium
2019,Maruti,Ignis,2017,First Owner,Automatic,Petrol,1197 CC,81.80 bhp,5.0,40000,Individual,Medium
2020,Honda,WR-V,2018,First Owner,Manual,Petrol,1199 CC,88.7 bhp,5.0,7800,Individual,Medium
2021,Maruti,Alto,2016,First Owner,Manual,Petrol,796 CC,47.3 bhp,5.0,50000,Individual,Low
2022,Ford,Endeavour,2011,First Owner,Manual,Diesel,2499 CC,141 bhp,7.0,68000,Individual,Medium
2023,Maruti,Ertiga,2015,Second Owner,Manual,Petrol,1373 CC,93.7 bhp,7.0,60000,Individual,Medium
2024,Tata,Indigo,2005,Second Owner,Manual,Petrol,1396 CC,85 bhp,5.0,74000,Individual,Low
2025,Tata,New,2011,Second Owner,Manual,Diesel,2179 CC,138.1 bhp,7.0,58000,Individual,Medium
2026,Maruti,A-Star,2011,Third Owner,Manual,Petrol,998 CC,66.1 bhp,5.0,70000,Individual,Low
2027,Ford,Figo,2015,First Owner,Manual,Petrol,1196 CC,86.8 bhp,5.0,70000,Individual,Medium
2028,Hyundai,i10,2009,Second Owner,Manual,Petrol,1197 CC,78.9 bhp,5.0,110000,Individual,Low
2029,Hyundai,Santro,2002,Third Owner,Manual,Petrol,,,,80000,Individual,Low
2030,Hyundai,i20,2016,First Owner,Manual,Diesel,1396 CC,88.73 bhp,5.0,80000,Individual,Medium
2031,Maruti,Ertiga,2018,First Owner,Manual,Diesel,1498 CC,93.87 bhp,7.0,59000,Individual,Medium
2032,Tata,Indica,2018,First Owner,Manual,Diesel,1396 CC,69 bhp,5.0,110000,Individual,Low
2033,Maruti,Celerio,2020,First Owner,Manual,Petrol,998 CC,67.04 bhp,5.0,25000,Individual,Medium
2034,Maruti,Alto,2014,First Owner,Manual,Petrol,796 CC,47.3 bhp,5.0,55000,Individual,Low
2035,Maruti,Celerio,2015,First Owner,Manual,Diesel,793 CC,47 bhp,5.0,25000,Individual,Medium
2036,Mahindra,Xylo,2009,First Owner,Manual,Diesel,2498 CC,112 bhp,7.0,300000,Individual,Low
2037,Ford,Figo,2016,First Owner,Manual,Diesel,1498 CC,99 bhp,5.0,143200,Individual,Medium
2038,Jeep,Compass,2017,First Owner,Manual,Diesel,1956 CC,170 bhp,5.0,60000,Individual,High
2039,Nissan,Micra,2012,First Owner,Manual,Diesel,1461 CC,63.1 bhp,5.0,120000,Individual,Low
2040,Maruti,Ciaz,2014,Second Owner,Manual,Diesel,1248 CC,88.5 bhp,5.0,145000,Individual,Medium
2041,Hyundai,i20,2017,First Owner,Manual,Petrol,1197 CC,81.83 bhp,5.0,30000,Individual,Medium
2042,Hyundai,Grand,2019,First Owner,Manual,Petrol,1197 CC,81.86 bhp,5.0,8000,Individual,Medium
2043,Ford,Endeavour,2012,First Owner,Manual,Diesel,2499 CC,141 bhp,7.0,170000,Individual,Medium
2044,Maruti,Swift,2013,First Owner,Manual,Diesel,1248 CC,74 bhp,5.0,100000,Individual,Medium
2045,Maruti,Omni,2012,First Owner,Manual,Petrol,796 CC,35 bhp,5.0,62000,Individual,Low
2046,Mahindra,XUV500,2014,First Owner,Manual,Diesel,2179 CC,140 bhp,7.0,110000,Individual,Medium
2047,Hyundai,Santro,2007,First Owner,Manual,CNG,,,,137000,Individual,Low
2048,Chevrolet,Tavera,2015,Second Owner,Manual,Diesel,2499 CC,72.4 bhp,9.0,80000,Individual,Medium
2049,Maruti,Zen,2002,Second Owner,Manual,Petrol,993 CC,60 bhp,5.0,80000,Individual,Low
2050,Maruti,Swift,2013,First Owner,Manual,Diesel,1248 CC,74 bhp,5.0,100000,Individual,Medium
2051,Mahindra,Bolero,2015,First Owner,Manual,Diesel,2523 CC,63 bhp,9.0,120000,Individual,Medium
2052,Maruti,Swift,2019,First Owner,Manual,Diesel,1248 CC,74.02 bhp,5.0,24000,Individual,Medium
2053,Mahindra,KUV,2017,First Owner,Manual,Diesel,1198 CC,77 bhp,6.0,80000,Individual,Medium
2054,Hyundai,Verna,2012,First Owner,Manual,Diesel,1582 CC,126.32 bhp,5.0,138000,Individual,Medium
2055,Maruti,Wagon,2003,Fourth & Above Owner,Manual,Petrol,998 CC,67.1 bhp,5.0,147000,Individual,Low
2056,Mahindra,TUV,2017,First Owner,Manual,Diesel,1493 CC,100 bhp,7.0,60000,Individual,Medium
2057,Chevrolet,Spark,2011,First Owner,Manual,Petrol,995 CC,62 bhp,5.0,80000,Individual,Low
2058,Maruti,Alto,2016,First Owner,Manual,Petrol,796 CC,47.3 bhp,5.0,50000,Individual,Low
2059,Tata,Manza,2013,First Owner,Manual,Diesel,1248 CC,88.76 bhp,5.0,189000,Individual,Low
2060,Volkswagen,Vento,2014,Second Owner,Automatic,Diesel,1498 CC,103.2 bhp,5.0,90000,Individual,Medium
2061,Hyundai,i20,2014,First Owner,Manual,Diesel,1396 CC,88.76 bhp,5.0,56000,Individual,Medium
2062,BMW,3,2012,Second Owner,Automatic,Diesel,1995 CC,184 bhp,5.0,140000,Individual,High
2063,Maruti,Celerio,2016,First Owner,Manual,Petrol,998 CC,67.04 bhp,5.0,60000,Individual,Medium
2064,Mahindra,XUV500,2012,First Owner,Manual,Diesel,2179 CC,140 bhp,7.0,130000,Individual,Medium
2065,BMW,3,2013,Second Owner,Automatic,Diesel,1995 CC,184 bhp,5.0,140000,Individual,High
2066,Tata,Manza,2013,First Owner,Manual,Diesel,1248 CC,88.76 bhp,5.0,189000,Individual,Low
2067,Volkswagen,Vento,2014,Second Owner,Automatic,Diesel,1498 CC,103.2 bhp,5.0,90000,Individual,Medium
2068,Hyundai,i20,2014,First Owner,Manual,Diesel,1396 CC,88.76 bhp,5.0,56000,Individual,Medium
2069,BMW,3,2012,Second Owner,Automatic,Diesel,1995 CC,184 bhp,5.0,140000,Individual,High
2070,Maruti,Celerio,2016,First Owner,Manual,Petrol,998 CC,67.04 bhp,5.0,60000,Individual,Medium
2071,Mahindra,XUV500,2012,First Owner,Manual,Diesel,2179 CC,140 bhp,7.0,130000,Individual,Medium
2072,BMW,3,2013,Second Owner,Automatic,Diesel,1995 CC,184 bhp,5.0,140000,Individual,High
2073,Nissan,Terrano,2016,First Owner,Manual,Diesel,1461 CC,83.8 bhp,5.0,35000,Individual,Medium
2074,Nissan,Terrano,2015,First Owner,Manual,Diesel,1461 CC,83.8 bhp,5.0,35000,Individual,Medium
2075,Tata,New,2011,First Owner,Manual,Diesel,2179 CC,138.1 bhp,7.0,156000,Individual,Medium
2076,Maruti,Alto,2013,First Owner,Manual,Petrol,796 CC,47.3 bhp,5.0,90000,Individual,Low
2077,Tata,Indigo,2008,Third Owner,Manual,Diesel,1405 CC,70 bhp,5.0,60000,Individual,Low
2078,Nissan,Terrano,2016,First Owner,Manual,Diesel,1461 CC,108.5 bhp,5.0,36000,Individual,Medium
2079,Hyundai,EON,2017,Second Owner,Manual,Petrol,814 CC,55.2 bhp,5.0,20000,Individual,Medium
2080,Tata,New,2011,First Owner,Manual,Diesel,2179 CC,138 bhp,7.0,160000,Individual,Medium
2081,Mahindra,Scorpio,2006,First Owner,Manual,Diesel,2609 CC,116.6 bhp,9.0,185000,Individual,Low
2082,Tata,Indica,2010,Second Owner,Manual,Diesel,1405 CC,71 bhp,5.0,110000,Individual,Low
2083,Renault,KWID,2018,First Owner,Manual,Petrol,799 CC,53.3 bhp,5.0,10800,Individual,Medium
2084,Mahindra,Bolero,2012,First Owner,Manual,Diesel,2523 CC,62.1 bhp,7.0,120000,Individual,Medium
2085,Maruti,Ignis,2019,First Owner,Manual,Petrol,1197 CC,81.80 bhp,5.0,15000,Individual,Medium
2086,Tata,Sumo,2012,First Owner,Manual,Diesel,1948 CC,68 bhp,10.0,67500,Individual,Low
2087,Tata,Hexa,2017,First Owner,Manual,Diesel,2179 CC,153.86 bhp,7.0,30000,Individual,High
2088,Mahindra,KUV,2016,First Owner,Manual,Diesel,1198 CC,77 bhp,6.0,50000,Individual,Medium
2089,Mahindra,TUV,2016,First Owner,Manual,Diesel,1493 CC,100 bhp,7.0,100000,Individual,Medium
2090,Mahindra,Bolero,2016,First Owner,Manual,Diesel,2523 CC,63 bhp,9.0,150000,Individual,Medium
2091,Mahindra,XUV500,2015,First Owner,Manual,Diesel,2179 CC,140 bhp,7.0,110000,Individual,High
2092,Maruti,Alto,2012,First Owner,Manual,Petrol,796 CC,47.3 bhp,5.0,30000,Individual,Low
2093,Maruti,Alto,2011,First Owner,Manual,Petrol,796 CC,46.3 bhp,5.0,60000,Individual,Low
2094,Mahindra,Xylo,2010,Second Owner,Manual,Diesel,2489 CC,95 bhp,8.0,255000,Individual,Low
2095,Chevrolet,Optra,2008,Second Owner,Manual,Diesel,1991 CC,123.7 bhp,5.0,120000,Individual,Low
2096,Maruti,Alto,2015,Second Owner,Manual,Petrol,796 CC,47.3 bhp,5.0,49900,Individual,Low
2097,Tata,Manza,2012,First Owner,Manual,Diesel,1248 CC,88.8 bhp,5.0,86000,Individual,Medium
2098,Datsun,GO,2015,First Owner,Manual,Petrol,1198 CC,67 bhp,5.0,71850,Individual,Low
2099,Fiat,Grande,2015,Third Owner,Manual,Diesel,1248 CC,75 bhp,5.0,95000,Individual,Medium
2100,Maruti,Swift,2008,Fourth & Above Owner,Manual,Petrol,1298 CC,85.8 bhp,5.0,70000,Individual,Low
2101,Hyundai,EON,2011,First Owner,Manual,Petrol,814 CC,55.2 bhp,5.0,35000,Individual,Low
2102,Maruti,Swift,2015,First Owner,Manual,Petrol,1197 CC,83.14 bhp,5.0,50000,Individual,Medium
2103,Mahindra,Bolero,2007,Third Owner,Manual,Diesel,2523 CC,63 bhp,7.0,120000,Individual,Medium
2104,Hyundai,Elantra,2015,First Owner,Manual,Diesel,1582 CC,126.2 bhp,5.0,145000,Individual,Medium
2105,Tata,Sumo,2012,Third Owner,Manual,Diesel,,,,190000,Individual,Low
2106,Mahindra,XUV500,2018,First Owner,Manual,Diesel,2179 CC,138 bhp,7.0,40000,Individual,High
2107,Maruti,Baleno,2015,First Owner,Manual,Diesel,1248 CC,74 bhp,5.0,110000,Individual,Medium
2108,Maruti,Wagon,2008,Second Owner,Manual,LPG,1061 CC,57.5 bhp,5.0,112000,Individual,Low
2109,Audi,A3,2017,First Owner,Automatic,Diesel,1968 CC,143 bhp,5.0,70000,Individual,High
2110,Maruti,Ritz,2016,First Owner,Manual,Diesel,1248 CC,73.94 bhp,5.0,110000,Individual,Medium
2111,Hyundai,Grand,2018,First Owner,Manual,Diesel,1186 CC,73.97 bhp,5.0,29000,Individual,Medium
2112,Maruti,Wagon,2011,First Owner,Manual,Petrol,998 CC,67.1 bhp,5.0,60000,Individual,Medium
2113,Hyundai,Santro,2002,Fourth & Above Owner,Manual,Petrol,,,,120000,Individual,Low
2114,Maruti,800,2004,Fourth & Above Owner,Manual,Petrol,796 CC,37 bhp,4.0,46000,Individual,Low
2115,Mahindra,Scorpio,2012,Third Owner,Automatic,Diesel,2179 CC,120 bhp,8.0,120000,Individual,Medium
2116,Maruti,Wagon,2016,First Owner,Manual,Petrol,998 CC,67.04 bhp,5.0,80000,Individual,Medium
2117,Toyota,Innova,2012,Second Owner,Manual,Diesel,2494 CC,102 bhp,7.0,159000,Individual,Medium
2118,Mahindra,Bolero,2012,Second Owner,Manual,Diesel,2523 CC,62.1 bhp,7.0,110000,Individual,Medium
2119,Maruti,Alto,2010,Second Owner,Manual,Petrol,796 CC,46.3 bhp,5.0,75000,Individual,Low
2120,Maruti,Swift,2010,Third Owner,Manual,Diesel,1248 CC,73.9 bhp,5.0,120000,Individual,Low
2121,Honda,City,2010,Third Owner,Manual,Petrol,1497 CC,118 bhp,5.0,110000,Individual,Medium
2122,Chevrolet,Spark,2009,Fourth & Above Owner,Manual,Petrol,995 CC,62 bhp,5.0,80000,Individual,Low
2123,Hyundai,EON,2012,Second Owner,Manual,Petrol,814 CC,55.2 bhp,5.0,80000,Individual,Low
2124,Maruti,Swift,2011,First Owner,Manual,Diesel,,,,85000,Individual,Medium
2125,Nissan,Sunny,2014,First Owner,Manual,Diesel,1461 CC,84.8 bhp,5.0,71000,Dealer,Medium
2126,Mahindra,XUV500,2011,First Owner,Manual,Diesel,2179 CC,140 bhp,7.0,108000,Dealer,Medium
2127,Renault,Duster,2015,First Owner,Manual,Diesel,1461 CC,83.8 bhp,5.0,75000,Dealer,Medium
2128,Maruti,Ciaz,2018,Second Owner,Manual,Petrol,1462 CC,103.25 bhp,5.0,22000,Individual,Medium
2129,Audi,Q5,2014,First Owner,Automatic,Diesel,2967 CC,241.4 bhp,5.0,76131,Individual,High
2130,Hyundai,i20,2018,Second Owner,Manual,Petrol,1197 CC,81.83 bhp,5.0,30000,Individual,Medium
2131,Audi,Q7,2014,First Owner,Automatic,Diesel,2967 CC,241.4 bhp,7.0,65000,Individual,High
2132,Mahindra,Scorpio,2018,First Owner,Manual,Diesel,2523 CC,75 bhp,7.0,60000,Individual,Medium
2133,Volkswagen,Polo,2013,First Owner,Manual,Diesel,1199 CC,73.9 bhp,5.0,80000,Individual,Medium
2134,Honda,Accord,2005,Second Owner,Automatic,Petrol,2997 CC,218 bhp,5.0,80000,Individual,Medium
